,PB-MGC-Short,PB-MNQ-Long,PB-MES-Short,ORB009-MES-Both,ORB009-MES-Long,ORB009-MES-Short,ORB009-MGC-Both,ORB009-MGC-Long,ORB009-MGC-Short,ORB009-MNQ-Both,ORB009-MNQ-Long,ORB009-MNQ-Short,VWAP006-MES-Both,VWAP006-MES-Long,VWAP006-MES-Short,VWAP006-MGC-Both,VWAP006-MGC-Long,VWAP006-MGC-Short,VWAP006-MNQ-Both,VWAP006-MNQ-Long,VWAP006-MNQ-Short,ICT010-MES-Both,ICT010-MES-Long,ICT010-MES-Short,ICT010-MGC-Both,ICT010-MGC-Long,ICT010-MGC-Short,ICT010-MNQ-Both,ICT010-MNQ-Long,ICT010-MNQ-Short
ORB009-MNQ-Long,0.0769801634418098,0.18110303471714714,0.02876681231252432,0.31233581196212057,0.5922169456183767,-0.04692355288861689,0.03255607516084077,0.06082011902058384,7.68126719945353e-05,0.6442821127098742,1.0,0.00882723276699752,0.18436128614047867,0.3546150788038278,-0.04231093759509106,0.04515466775287167,0.02696180802006555,-0.04412309868537768,0.2603222921630605,0.33763849669797047,-0.007069270772594422,0.07763744194854837,0.06485801035916892,0.0444515723112086,0.036197948719907044,0.11325435267198854,-0.05953022815697056,0.0012370439319761696,0.02283804966869887,-0.022215943879536033
ORB009-MNQ-Short,0.012643008895909765,-0.060625290899290925,-0.008167336979232635,0.470824026498928,-0.008116002212343596,0.6011448418526932,-0.00916125183332028,-0.03992178819026204,0.014454912496140811,0.7704453492632362,0.00882723276699752,1.0,0.10544580282997083,-0.08190094137962445,0.1991953405451676,0.019702068399946142,-0.001622965320775179,0.018799474637485037,0.1710271964837284,-0.05000283520731064,0.28066672322890923,-0.03518852990544123,-0.07954114531890004,0.030362838564071758,-0.006479111130558145,0.01859888408949797,-0.027085797138489555,-0.09027515039749492,-0.1174929618165391,-0.007388594527299374
VWAP006-MES-Both,-0.006750156922002691,0.14249824657204554,0.2451113988138873,0.3150483912551461,0.19406683801135124,0.2534592878272391,-0.059875441846850536,0.0071034127912985,-0.07565020171550728,0.1981828326485495,0.18436128614047867,0.10544580282997083,1.0,0.5956823977332719,0.7865426448206594,0.040444533640629915,0.006470672142622778,0.11518454177630977,0.7176275435637416,0.3586335331830141,0.608793891685399,0.0312797543202467,-0.03000919271658809,0.07445854369693886,-0.006583256794475268,-0.005918473905071985,-0.0034257994986939496,0.00827943134729456,-0.024740592679810464,0.03801613103056754
VWAP006-MES-Long,-0.011974568400612054,0.2987426637675337,-0.007292317428419825,0.15670334734396885,0.27720481891740667,-0.008686004594220583,-0.07363798961017652,0.0667126413693488,-0.12983855784491027,0.16343877543873755,0.3546150788038278,-0.08190094137962445,0.5956823977332719,1.0,-0.01678009896291989,0.0050311196098669474,0.0060458533085053995,0.009290477705393119,0.4298417207164365,0.6148253877116316,-0.02262380059105987,0.05911134069334138,0.04738615850914522,0.03585415007998516,0.009312610911102491,0.018116887329833672,-0.0046154758623598606,0.06997619296968971,0.08286383090854964,0.014358527190775586
VWAP006-MES-Short,0.0007824523987417554,-0.05102531412887473,0.3174891131138575,0.27668116206281984,0.02927022241823446,0.32787664397385297,-0.03414954639896175,-0.03814622637693252,-0.01636210769538805,0.12537359568921141,-0.04231093759509106,0.1991953405451676,0.7865426448206594,-0.01678009896291989,1.0,0.056954103617486825,0.02047824694974389,0.13724605764631048,0.5596660685762342,-0.0343063266239951,0.7746709909354969,-0.0022621673863848935,-0.06862652012323264,0.06592775301575349,-0.017548224121710948,-0.020743661177856223,-0.004308595182662771,-0.042102864700782255,-0.09161371872869684,0.03525996028012559
VWAP006-MGC-Both,0.11991365725088776,-0.04353626161758467,0.00750050628191725,0.012694900925106601,0.0475653026637547,-0.019430322934821248,-0.05066504765151138,0.2138056537364209,-0.19590876876276034,0.04385598641030322,0.04515466775287167,0.019702068399946142,0.040444533640629915,0.0050311196098669474,0.056954103617486825,1.0,0.5584317907115134,0.3347142039100871,0.017626946122135393,-0.01450228272855643,0.032576296013746064,0.03736230907360753,-0.011219453831973605,0.06413285291628208,-0.0499789464457901,0.008852674870466768,-0.07823027721219793,-0.04842228993301024,-0.04353178438296035,-0.024452847291675933
VWAP006-MGC-Long,-0.010859405138909971,-0.054901588871597365,-0.03885223993167298,-0.031609127936767484,0.012752173884950585,-0.04946294704675543,0.06878968366100326,0.3407035059649364,-0.13452487055128248,0.01594771279891685,0.02696180802006555,-0.001622965320775179,0.006470672142622778,0.0060458533085053995,0.02047824694974389,0.5584317907115134,1.0,0.010687487579023283,0.00831582247145618,0.0018170250251584477,0.012491558468269095,-0.0004505004379574304,0.004262974167936207,-0.004931058467388968,-0.0568073625095857,0.08054825523140353,-0.15735693395596603,-0.02864867617805061,-0.014589749365558551,-0.0262057064453917
VWAP006-MGC-Short,0.10313351646178916,-0.121535480219456,0.025589615894441056,-0.0069767616030314,-0.024652324010327402,0.009568384568362183,-0.0907806229195305,-0.001161937493196991,-0.10712405082046751,-0.013751667068646367,-0.04412309868537768,0.018799474637485037,0.11518454177630977,0.009290477705393119,0.13724605764631048,0.3347142039100871,0.010687487579023283,1.0,0.11109393815636551,-0.009721756270114497,0.14922551748279891,0.026866823716456312,-0.0142700242334147,0.05236465507367955,0.03624357317841398,0.05451143345249678,-0.0024302871855856013,0.019185495408211333,-0.02735363364960306,0.05657834011447295
VWAP006-MNQ-Both,-0.057557290814491326,0.2040393819472627,0.1601190050670482,0.2730257492698829,0.16655828566717823,0.22086218244906858,-0.03233960776673264,0.01966166728070672,-0.05090453714087001,0.29676813201285857,0.2603222921630605,0.1710271964837284,0.7176275435637416,0.4298417207164365,0.5596660685762342,0.017626946122135393,0.00831582247145618,0.11109393815636551,1.0,0.5887053928733122,0.7558476729872718,0.046970689337694424,0.025929128795233337,0.040300198640417555,-0.013829045920289168,0.0018551580484082114,-0.021069028798200152,-0.06522841386852572,-0.08854479601815812,-0.0015012388456481956
VWAP006-MNQ-Long,-0.03205029264651608,0.32597534966059616,-0.04143450371488575,0.09898198149580666,0.21761288131382708,-0.03719638523343772,-0.013783808154861816,0.0655153077143706,-0.057962435053204926,0.1770119166598118,0.33763849669797047,-0.05000283520731064,0.3586335331830141,0.6148253877116316,-0.0343063266239951,-0.01450228272855643,0.0018170250251584477,-0.009721756270114497,0.5887053928733122,1.0,0.0014800307783058813,0.03674772630845154,0.033047265583988704,0.018674559867322926,0.04853557117038907,0.03357212013851268,0.03502693961569022,-0.04063633879895988,-0.00036041639732446647,-0.058548654432323315
